—	O	O	O	O	
Contessa	B-PER	O	O	O	
,	O	O	O	O	
il	O	O	O	O	
caffè	O	O	O	O	
—	O	O	O	O	
disse	O	O	O	O	
la	B-PER	O	O	O	
cameriera	I-PER	O	O	O	
.	O	O	O	O	

La	B-PER	O	O	O	
contessa	I-PER	O	O	O	
non	O	O	O	O	
rispose	O	O	O	O	
.	O	O	O	O	

Le	O	O	O	O	
persiane	O	O	O	O	
erano	O	O	O	O	
chiuse	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
si	O	O	O	O	
poteva	O	O	O	O	
tuttavia	O	O	O	O	
vedere	O	O	O	O	
,	O	O	O	O	
sul	O	O	O	O	
velato	O	O	O	O	
candore	O	O	O	O	
del	O	O	O	O	
guanciale	O	O	O	O	
,	O	O	O	O	
il	O	O	O	O	
grazioso	O	O	O	O	
viso	O	O	O	O	
inclinato	O	O	O	O	
della	O	O	O	O	
giovane	B-PER	O	O	O	
signora	I-PER	O	O	O	
che	O	O	O	O	
dormiva	O	O	O	O	
.	O	O	O	O	

La	B-PER	O	O	O	
cameriera	I-PER	O	O	O	
,	O	O	O	O	
ritta	O	O	O	O	
accanto	O	O	O	O	
al	O	O	O	O	
letto	O	O	O	O	
,	O	O	O	O	
col	O	O	O	O	
vassoio	O	O	O	O	
del	O	O	O	O	
caffè	O	O	O	O	
,	O	O	O	O	
ripetè	O	O	O	O	
più	O	O	O	O	
forte	O	O	O	O	
:	O	O	O	O	
—	O	O	O	O	
Il	O	O	O	O	
caffè	O	O	O	O	
,	O	O	O	O	
contessa	B-PER	O	O	O	
.	O	O	O	O	

La	B-PER	O	O	O	
contessa	I-PER	O	O	O	
si	O	O	O	O	
mise	O	O	O	O	
supina	O	O	O	O	
,	O	O	O	O	
sospirò	O	O	O	O	
ad	O	O	O	O	
occhi	O	O	O	O	
chiusi	O	O	O	O	
e	O	O	O	O	
sbadigliò	O	O	O	O	
:	O	O	O	O	
—	O	O	O	O	
Apri	O	O	O	O	
un	O	O	O	O	
poco	O	O	O	O	
.	O	O	O	O	

L	B-PER	O	O	O	
'	I-PER	O	O	O	
altra	I-PER	O	O	O	
andò	O	O	O	O	
alla	O	O	O	O	
