Sentite	O	O	O	O	
ora	O	O	O	O	
il	O	O	O	O	
mio	O	O	O	O	
segreto	O	O	O	O	
,	O	O	O	O	
uno	O	O	O	O	
spaventoso	O	O	O	O	
segreto	O	O	O	O	
che	O	O	O	O	
mi	O	O	O	O	
rode	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
anima	O	O	O	O	
.	O	O	O	O	

L	O	O	O	O	
'	O	O	O	O	
ho	O	O	O	O	
taciuto	O	O	O	O	
sinora	O	O	O	O	
per	O	O	O	O	
l	O	O	O	O	
'	O	O	O	O	
orrore	O	O	O	O	
della	O	O	O	O	
mia	O	O	O	O	
mostruosità	O	O	O	O	
.	O	O	O	O	

Ma	O	O	O	O	
dentro	O	O	O	O	
,	O	O	O	O	
lo	O	O	O	O	
spasimo	O	O	O	O	
mio	O	O	O	O	
assume	O	O	O	O	
mille	O	O	O	O	
forme	O	O	O	O	
,	O	O	O	O	
io	O	O	O	O	
sento	O	O	O	O	
due	O	O	O	O	
martellini	O	O	O	O	
battermi	O	O	O	O	
sul	O	O	O	O	
cuore	O	O	O	O	
mortificandolo	O	O	O	O	
di	O	O	O	O	
colpi	O	O	O	O	
;	O	O	O	O	
io	O	O	O	O	
ho	O	O	O	O	
una	O	O	O	O	
vite	O	O	O	O	
d	O	O	O	O	
'	O	O	O	O	
acciaio	O	O	O	O	
che	O	O	O	O	
mi	O	O	O	O	
rotea	O	O	O	O	
nel	O	O	O	O	
petto	O	O	O	O	
come	O	O	O	O	
un	O	O	O	O	
cavaturacciolo	O	O	O	O	
;	O	O	O	O	
io	O	O	O	O	
ho	O	O	O	O	
un	O	O	O	O	
migliaio	O	O	O	O	
di	O	O	O	O	
spilli	O	O	O	O	
ficcati	O	O	O	O	
sotto	O	O	O	O	
il	O	O	O	O	
cranio	O	O	O	O	
;	O	O	O	O	
io	O	O	O	O	
ho	O	O	O	O	
un	O	O	O	O	
chiodo	O	O	O	O	
confitto	O	O	O	O	
nella	O	O	O	O	
tempia	O	O	O	O	
dritta	O	O	O	O	
.	O	O	O	O	

Eppure	O	O	O	O	
,	O	O	O	O	
in	O	O	O	O	
questa	O	O	O	O	
lunga	O	O	O	O	
agonia	O	O	O	O	
,	O	O	O	O	
io	O	O	O	O	
non	O	O	O	O	
posso	O	O	O	O	
morire	O	O	O	O	
;	O	O	O	O	
dalla	O	O	O	O	
febbre	O	O	O	O	
il	O	O	O	O	
mio	O	O	O	O	
sangue	O	O	O	O	
si	O	O	O	O	
rinnovella	O	O	O	O	
,	O	O	O	O	
dalla	O	O	O	O	
tortura	O	O	O	O	
le	O	O	O	O	
mie	O	O	O	O	
fibre	O	O	O	O	
si	O	O	O	O	
disseccano	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
si	O	O	O	O	
rinvigoriscono	O	O	O	O	
dall	O	O	O	O	
'	O	O	O	O	
incitamento	O	O	O	O	
;	O	O	O	O	
la	O	O	O	O	
forza	O	O	O	O	
dei	O	O	O	O	
miei	O	O	O	O	
nervi	O	O	O	O	
si	O	O	O	O	
raddoppia	O	O	O	O	
.	O	O	O	O	

Morire	O	O	O	O	
no	O	O	O	O	
,	O	O	O	O	
non	O	O	O	O	
mi	O	O	O	O	
è	O	O	O	O	
concesso	O	O	O	O	
.	O	O	O	O	

Altri	B-PER	O	O	O	
dovrebbero	O	O	O	O	
morire	O	O	O	O	
,	O	O	O	O	
meco	O	O	O	O	
.	O	O	O	O	

Scrivo	O	O	O	O	
il	O	O	O	O	
mio	O	O	O	O	
segreto	O	O	O	O	
non	O	O	O	O	
per	O	O	O	O	
sollievo	O	O	O	O	
perchè	O	O	O	O	
non	O	O	O	O	
ne	O	O	O	O	
spero	O	O	O	O	
,	O	O	O	O	
ma	O	O	O	O	
perchè	O	O	O	O	
si	O	O	O	O	
sappia	O	O	O	O	
la	O	O	O	O	
verità	O	O	O	O	
del	O	O	O	O	
caso	O	O	O	O	
mio	O	O	O	O	
.	O	O	O	O	

